date,timestamp,guild_id,guild_name,member_count,human_count,bot_count,online_members,text_channels,voice_channels,categories,roles,emojis,boost_level,boost_count
2025-07-02,2025-07-02T02:07:48.330846,1379689478129451068,ACCOUNTSTEAL,10,8,2,2,14,1,2,6,0,0,0
2025-07-02,2025-07-02T02:07:48.414551,1379689478129451068,ACCOUNTSTEAL,10,8,2,2,14,1,2,6,0,0,0
2025-07-02,2025-07-02T08:23:34.144198,1379689478129451068,ACCOUNTSTEAL,10,8,2,2,14,1,2,7,0,0,0
2025-07-02,2025-07-02T08:23:34.216406,1379689478129451068,ACCOUNTSTEAL,10,8,2,2,14,1,2,7,0,0,0
2025-07-02,2025-07-02T08:26:01.168953,1379689478129451068,ACCOUNTSTEAL,10,8,2,2,14,1,2,7,0,0,0
2025-07-02,2025-07-02T08:26:01.218425,1379689478129451068,ACCOUNTSTEAL,10,8,2,2,14,1,2,7,0,0,0
2025-07-02,2025-07-02T08:28:41.468916,1379689478129451068,ACCOUNTSTEAL,10,8,2,2,14,1,2,7,0,0,0
2025-07-02,2025-07-02T08:28:41.469432,1379689478129451068,ACCOUNTSTEAL,10,8,2,2,14,1,2,7,0,0,0
2025-07-02,2025-07-02T08:48:54.150013,1379689478129451068,ACCOUNTSTEAL,10,8,2,2,14,1,2,7,0,0,0
2025-07-02,2025-07-02T09:00:14.171798,1379689478129451068,ACCOUNTSTEAL,10,8,2,2,14,1,2,7,0,0,0
2025-07-02,2025-07-02T09:08:51.029274,1379689478129451068,ACCOUNTSTEAL,10,8,2,2,14,1,2,7,0,0,0
2025-07-02,2025-07-02T09:08:51.252450,1379689478129451068,ACCOUNTSTEAL,10,8,2,2,14,1,2,7,0,0,0
2025-07-02,2025-07-02T09:11:31.107506,1379689478129451068,ACCOUNTSTEAL,10,8,2,2,14,1,2,7,0,0,0
2025-07-02,2025-07-02T09:21:37.799062,1379689478129451068,ACCOUNTSTEAL,11,8,3,3,15,1,2,9,0,0,0
2025-07-02,2025-07-02T09:22:29.102542,1379689478129451068,ACCOUNTSTEAL,11,8,3,3,15,1,2,9,0,0,0
2025-07-02,2025-07-02T09:22:29.555184,1379689478129451068,ACCOUNTSTEAL,11,8,3,3,15,1,2,9,0,0,0
2025-07-02,2025-07-02T09:26:22.857632,1379689478129451068,ACCOUNTSTEAL,11,8,3,3,15,1,2,9,0,0,0
2025-07-02,2025-07-02T09:32:39.707819,1379689478129451068,ACCOUNTSTEAL,11,8,3,3,15,1,2,9,0,0,0
2025-07-02,2025-07-02T09:33:36.860267,1379689478129451068,ACCOUNTSTEAL,11,8,3,3,15,1,2,9,0,0,0
2025-07-02,2025-07-02T09:33:38.190469,1379689478129451068,ACCOUNTSTEAL,11,8,3,3,15,1,2,9,0,0,0
2025-07-02,2025-07-02T09:41:45.812821,1379689478129451068,ACCOUNTSTEAL,11,8,3,3,15,1,2,9,0,0,0
2025-07-02,2025-07-02T09:41:47.051005,1379689478129451068,ACCOUNTSTEAL,11,8,3,3,15,1,2,9,0,0,0
2025-07-02,2025-07-02T09:44:46.349276,1379689478129451068,ACCOUNTSTEAL,11,8,3,3,15,1,2,9,0,0,0
2025-07-02,2025-07-02T09:50:37.583315,1379689478129451068,ACCOUNTSTEAL,11,8,3,3,15,1,2,9,0,0,0
2025-07-02,2025-07-02T09:50:46.769869,1379689478129451068,ACCOUNTSTEAL,11,8,3,3,15,1,2,9,0,0,0
2025-07-02,2025-07-02T09:57:26.799565,1379689478129451068,ACCOUNTSTEAL,11,8,3,3,15,1,2,9,0,0,0
2025-07-02,2025-07-02T09:57:27.098921,1379689478129451068,ACCOUNTSTEAL,11,8,3,3,15,1,2,9,0,0,0
2025-07-02,2025-07-02T10:23:19.527500,1379689478129451068,ACCOUNTSTEAL,11,8,3,3,15,1,2,9,0,0,0
2025-07-02,2025-07-02T11:53:36.056963,1379689478129451068,ACCOUNTSTEAL,11,8,3,4,15,1,2,9,0,0,0
2025-07-02,2025-07-02T11:56:00.904382,1379689478129451068,ACCOUNTSTEAL,11,8,3,4,15,1,2,9,0,0,0
2025-07-02,2025-07-02T11:56:01.938874,1379689478129451068,ACCOUNTSTEAL,11,8,3,4,15,1,2,9,0,0,0
2025-07-02,2025-07-02T12:02:33.576714,1379689478129451068,ACCOUNTSTEAL,11,8,3,4,15,1,2,9,0,0,0
2025-07-02,2025-07-02T12:28:08.192218,1379689478129451068,ACCOUNTSTEAL,11,8,3,4,15,1,2,9,0,0,0
2025-07-02,2025-07-02T12:28:09.271823,1379689478129451068,ACCOUNTSTEAL,11,8,3,4,15,1,2,9,0,0,0
2025-07-02,2025-07-02T12:28:14.897288,1379689478129451068,ACCOUNTSTEAL,11,8,3,4,15,1,2,9,0,0,0
2025-07-02,2025-07-02T12:29:25.395575,1379689478129451068,ACCOUNTSTEAL,11,8,3,4,15,1,2,9,0,0,0
2025-07-02,2025-07-02T12:56:02.195782,1379689478129451068,ACCOUNTSTEAL,11,8,3,4,15,1,2,9,0,0,0
2025-07-02,2025-07-02T12:57:59.268930,1379689478129451068,ACCOUNTSTEAL,11,8,3,4,15,1,2,9,0,0,0
2025-07-02,2025-07-02T13:03:48.801682,1379689478129451068,ACCOUNTSTEAL,11,8,3,4,15,1,2,9,0,0,0
2025-07-02,2025-07-02T13:08:25.318350,1379689478129451068,ACCOUNTSTEAL,11,8,3,4,15,1,2,9,0,0,0
